Treatment;Data;geneid;DHDPS;Type Data
Mean_Nodule_primordia_7dpi;0,10;LotjaGi3g1v0431700;Lj.DHDPS-B1;Normalized
Mean_Nodules_21dpi;0,10;LotjaGi3g1v0431700;Lj.DHDPS-B1;Normalized
Mean_Root_mock_microbialspectrum;0,06;LotjaGi3g1v0431700;Lj.DHDPS-B1;Normalized
Mean_M_loti_R7A_3dpi;0,06;LotjaGi3g1v0431700;Lj.DHDPS-B1;Normalized
Mean_Bradyrhizobium_elkanii_USDA61_3dpi;0,06;LotjaGi3g1v0431700;Lj.DHDPS-B1;Normalized
Mean_Sinorhizobium_fredii_HH103_3dpi;0,06;LotjaGi3g1v0431700;Lj.DHDPS-B1;Normalized
Mean_Pseudomonas_syringae_pv_tomato_DC3000_3dpi;0,06;LotjaGi3g1v0431700;Lj.DHDPS-B1;Normalized
Mean_Ralstonia_solanacearum_JS763_3dpi;0,04;LotjaGi3g1v0431700;Lj.DHDPS-B1;Normalized
Mean_ZON_1hr_mock;0,18;LotjaGi3g1v0431900;Lj.DHDPS-B2;Normalized
Mean_ZON_1hr_BA;0,20;LotjaGi3g1v0431900;Lj.DHDPS-B2;Normalized
Mean_ZON_24hr_mock;0,03;LotjaGi3g1v0431900;Lj.DHDPS-B2;Normalized
Mean_ZON_24hr_BA;0,23;LotjaGi3g1v0431900;Lj.DHDPS-B2;Normalized
Mean_ZON_24hr_R7A;0,23;LotjaGi3g1v0431900;Lj.DHDPS-B2;Normalized
Mean_Nodules_10dpi;0,01;LotjaGi3g1v0431900;Lj.DHDPS-B2;Normalized
Mean_3dpi_root_mock;0,20;LotjaGi3g1v0431900;Lj.DHDPS-B2;Normalized
Mean_3dpi_root_R7A;0,17;LotjaGi3g1v0431900;Lj.DHDPS-B2;Normalized
Mean_3dpi_shoot_mock;0,01;LotjaGi3g1v0431900;Lj.DHDPS-B2;Normalized
Mean_3dpi_shoot_R7A;0,01;LotjaGi3g1v0431900;Lj.DHDPS-B2;Normalized
Mean_AM_15dpi;0,10;LotjaGi3g1v0431900;Lj.DHDPS-B2;Normalized
Mean_AM_27dpi;0,07;LotjaGi3g1v0431900;Lj.DHDPS-B2;Normalized
Mean_AM_mock_15d;0,11;LotjaGi3g1v0431900;Lj.DHDPS-B2;Normalized
Mean_Mature_flower;0,00;LotjaGi3g1v0431900;Lj.DHDPS-B2;Normalized
Mean_Immature_flower;0,00;LotjaGi3g1v0431900;Lj.DHDPS-B2;Normalized
Mean_Pod;0,03;LotjaGi3g1v0431900;Lj.DHDPS-B2;Normalized
Mean_Seed;0,01;LotjaGi3g1v0431900;Lj.DHDPS-B2;Normalized
Mean_Root;0,11;LotjaGi3g1v0431900;Lj.DHDPS-B2;Normalized
Mean_Leaf;0,00;LotjaGi3g1v0431900;Lj.DHDPS-B2;Normalized
Mean_AM_mock_27d_P;0,14;LotjaGi3g1v0431900;Lj.DHDPS-B2;Normalized
Mean_AM_mock_27d;0,11;LotjaGi3g1v0431900;Lj.DHDPS-B2;Normalized
