ID,Experiment,Gene_Model,Log2FoldChange,STRESS
24,11_SRP105922-965_HIghT_Wm82_Root,HSDH (Glyma.20G053200),-0.468116419,Abiotic
24,11_SRP105922-965_lowpH_Wm82_Root,HSDH (Glyma.20G053200),0.223587576,Abiotic
24,11_SRP105922-965_lowT_Wm82_Root,HSDH (Glyma.20G053200),0.209125905,Abiotic
24,11_SRP105922-965_Salinity_Wm82_Root,HSDH (Glyma.20G053200),-0.204077788,Abiotic
24,11_SRP105922-965_minusFe_Wm82_Root,HSDH (Glyma.20G053200),-0.282645467,Abiotic
24,11_SRP105922-965_minusK_Wm82_Root,HSDH (Glyma.20G053200),-0.396459213,Abiotic
24,11_SRP105922-965_minusN_Wm82_Root,HSDH (Glyma.20G053200),-0.199318503,Abiotic
24,11_SRP105922-965_minusP_Wm82_Root,HSDH (Glyma.20G053200),-0.049311554,Abiotic
24,12_SRP132150_Salt_1h_C08_Leaf,HSDH (Glyma.20G053200),0.239454042,Abiotic
24,12_SRP132150_Salt_2h_C08_Leaf,HSDH (Glyma.20G053200),-0.235941125,Abiotic
24,12_SRP132150_Salt_4h_C08_Leaf,HSDH (Glyma.20G053200),0.320673209,Abiotic
24,12_SRP132150_Salt_24h_C08_Leaf,HSDH (Glyma.20G053200),0.780467668,Abiotic
24,12_SRP132150_Salt_48h_C08_Leaf,HSDH (Glyma.20G053200),1.257378812,Abiotic
24,12_SRP132150_Salt_1h_C08_Root,HSDH (Glyma.20G053200),0.185701055,Abiotic
24,12_SRP132150_Salt_2h_C08_Root,HSDH (Glyma.20G053200),0.167447178,Abiotic
24,12_SRP132150_Salt_4h_C08_Root,HSDH (Glyma.20G053200),-0.401234198,Abiotic
24,12_SRP132150_Salt_24h_C08_Root,HSDH (Glyma.20G053200),0.041801107,Abiotic
24,12_SRP132150_Salt_48h_C08_Root,HSDH (Glyma.20G053200),0.159625535,Abiotic
24,"13_SRP108540_2,5Bic_effect_U06-625083_Root",HSDH (Glyma.20G053200),0.341539958,Abiotic
24,13_SRP108540_5Bic_effect_U06-625083_Root,HSDH (Glyma.20G053200),0.397234731,Abiotic
24,"13_SRP108540_2,5Bic_effect_U06-105454_Root",HSDH (Glyma.20G053200),0.021118709,Abiotic
